name,resolved_if_double,ra,dec,v,b-v,spectral_type,pi,mv,d,mu,pa,rv,remarks,common_name,arabic_name
Sun,,,,-26.75,0.63,G2 V,,4.82,8,,,varies,,Sun,
alp And,,00 08.2,+29 04,2.1v,-0.11,B9p IV:(HgMn),0.032,-0.4,100,0.209,139.0,-12 SB,,Alpheratz,سرة الفرس
bet Cas,,00 09.0,+59 08,2.3v,0.34,F2 III,0.072,2.0,45,0.555,109.0,+11 SB,"var: 2.25-2.31, 0.10d",Caph,الكف الخصيب
gam Peg,,00 13.1,+15 10,2.8v,-0.23,B2 IV,0.000,-3.1,490,0.008,176.0,+4 SB,"var: 2.80-2.87, 0.15d",Algenib,الجنب
bet Hyi,,00 25.4,-77 17,2.80,0.62,G1 IV,0.159,3.8,20,2.255,82.0,+23,,,
alp Phe,,00 26.2,-42 20,2.39,1.09,K0 IIIb,0.039,0.7,62,0.442,152.0,+75 SB,,Ankaa,عنقاء
del And,A,00 39.2,+30 50,3.27,1.28,K3 III,0.028,-0.3,170,0.161,122.0,-7 SB,,,
eta Cas,,00 40.3,+56 31,2.23,1.17,K0 IIIa,0.016,-0.8,110,0.058,117.0,-4 V?,,Schedar,صدر ذات الكرسي
bet Cet,,00 43.5,-18 01,2.04,1.02,K0 III,0.061,0.3,53,0.234,81.0,+13,,Diphda,الضفدع
eta Cas,A,00 49.0,+57 48,3.44,0.57,G0 V,0.176,4.7,18,1.218,115.0,+9 SB,"B: 7.51, K4 Ve, 12""",,
gam Cas,,00 56.6,+60 42,2.5v,-0.15,B0 IVnpe(shell),0.016,-4.7,730,0.026,90.0,-7 SB,"var: 1.6 3.0; B: 8.8, 2""",,
bet Phe,AB,01 05.9,-46 44,3.31,0.89,G8 III,0.021,0.3,130,0.03,279.0,-1,"AB similar in light, spectrum, 1",,
eta Cet,,01 08.5,-10 12,3.45,1.16,K1.5 III CN1,0.041,0.1,140,0.25,122.0,+12,,,
bet And,,01 09.5,+35 36,2.06,1.58,M0 IIIa,0.049,-1.6,170,0.21,121.0,+3 V,,Mirach,مراق (تحريف مئزر)
del Cas,,01 25.6,+60 13,2.7v,0.13,A5 IV,0.037,1.4,59,0.303,99.0,+7 SB,"ecl.? 2.68-2.76, 759d",Ruchbah,ركبة
gam Phe,,01 28.3,-43 20,3.4v,1.57,K7 IIIa,0.000,-1.4,280,0.204,184.0,+26 SB,var: 3.39 3.49,Achernar,الظليم
alp Eri,,01 37.5,-57 15,0.46,-0.16,B3 Vnp (shell),0.026,-1.3,69,0.108,105.0,+16 V,,,
tau Cet,,01 44.0,-15 58,3.50,0.72,G8 V,0.287,5.8,11,1.921,296.0,-16,,,
alp Tri,,01 52.9,+29 34,3.41,0.49,F6 IV,0.057,2.6,53,0.23,177.0,-13 SB,,Metallah,
eps Cas,,01 54.1,+63 39,3.38,-0.15,B3 IV:p(shell),0.010,-2.4,440,0.036,114.0,-8 V,,Segin,
bet Ari,,01 54.5,+20 47,2.64,0.13,A4 V,0.074,1.8,44,0.145,138.0,-2 SB,,Sharatan,الشرطان
alp Hyi,,01 58.7,-61 36,2.86,0.28,F0 III-IVn,0.048,1.7,55,0.271,83.0,+1 V,,,
gam And,A,02 03.7,+42 19,2.26,1.37,K3 IIb,0.013,-1.8,42,0.066,136.0,-12 SB,"B: 5.4,B9V,10"";C: 6.2,A0V;BC: 1""",Almaak,عناق الأرض
alp Ari,,02 07.0,+23 27,2.00,1.15,K2 IIIab,0.049,0.1,78,0.238,127.0,-14 SB,Calcium weak?,Hamal,حمل
bet Tri,,02 09.4,+34 58,3.00,0.14,A5 IV,0.022,1.3,71,0.153,104.0,+10 SB2,,,
omi Cet,A,02 19.2,-3 01,2-10v,1.42,M5-10 IIIe,0.024,-0.5,200,0.232,183.0,+64 V,"LPV, 2-10; B: VZ Cet,9.5v,Bpe,1""",Mira,
alp UMi,A,02 27.9,+89 15,2.0v,0.6,F5-8 Ib,0.007,-2.9,316,0.046,95.0,-17 SB,"low amp Cep,4d; B: 8.2,F3 V,18""",Polaris,
gam Cet,AB,02 43.2,+3 14,3.47,0.09,A2 Va,0.052,1.4,63,0.203,224.0,-5 V,"A: 3.57; B: 6.23, 3""",Kaffaljidhma,الكف الجذماء
the Eri,A,02 58.1,-40 20,3.42,0.14,A5 IV,0.035,1.3,93,0.065,294.0,+12 SB2,"B: 4.35, A1 Va, 8""",Acamar,آخر النهر
alp Cet,,03 02.1,+4 04,2.53,1.64,M2 III,0.009,-1.5,200,0.075,189.0,-26,,Menkar,منخر
gam Per,,03 04.5,+53 29,2.93,0.7,G8 III + A2 V,0.016,0.3,100,0.002,180.0,+3 SB,composite spectrum,,
rho Per,,03 05.0,+38 49,3.4v,1.65,M4 II,0.011,-2.6,500,0.165,128.0,+28,semi regular var: 3.3-4.0,,
bet Per,,03 08.0,+40 56,2.1v,-0.05,B8 V + F:,0.045,0.1,92,0.004,124.0,+4 SB,"ecl: 2.12-3.4,2.87d; composite",Algol,رأس الغول
alp Per,,03 24.1,+49 50,1.79,0.48,F5 Ib,0.016,-5.1,630,0.033,131.0,-2 V,in cluster,Mirphak,المرفق
del Per,,03 42.7,+47 46,3.01,-0.13,B5 IIIn,0.016,-2.2,340,0.042,139.0,+4 SB,,,
del Eri,,03 43.1,-9 47,3.54,0.92,K0 IV,0.113,3.8,29,0.752,352.0,-6,,Alcyone,
eta Tau,,03 47.4,+24 05,2.87,-0.09,B7 IIIn,0.008,-1.5,450,0.048,157.0,+10 V?,in Pleiades,,
gam Hyi,,03 47.3,-74 15,3.24,1.62,M2 III,0.005,-1.1,230,0.128,24.0,+16,,,
zet Per,A,03 54.0,+31 52,2.85,0.12,B1 Ib,0.010,-5.8,1100,0.011,146.0,+20 SB,"B: 9.16, B8 V, 13""",,
eps Per,A,03 57.6,+40 00,2.89,-0.18,B0.5 IV,0.009,-4.2,740,0.029,145.0,+1 SB2,"B: 7.39, B9.5 V, 9""",,
gam Eri,,03 57.9,-13 31,2.95,1.59,M1 IIIb,0.010,-0.7,170,0.124,153.0,+62,"Calcium, Chromium weak",Zaurak,زورق
lam Tau,A,04 00.5,+12 29,3.5v,-0.12,B3 V,0.002,-1.3,270,0.011,218.0,+18 SB2,"ecl: 3.3-3.8, 3.95d; B: A4 IV",,
alp Ret,A,04 14.4,-62 29,3.35,0.91,G8 II-III,0.013,-0.9,230,0.068,43.0,+36 SB?,,,
the^2 Tau,,04 28.4,+15 52,3.40,0.18,A7 III,0.029,0.1,-150,0.105,103.0,+40 SB,in Hyades,,
eps Tau,,04 28.6,+19 10,3.53,1.01,K0 III,0.020,0.2,-150,0.114,108.0,+39,in Hyades,Ain,عين
alp Dor,AB,04 33.9,-55 03,3.27,-0.1,A0p V:(Si),0.018,0.0,190,0.051,89.0,+26,"A: 3.8; B: 4.3, B9 IV, 0.2""",,
alp Tau,A,04 35.7,+16 30,0.85v,1.54,K5 III,0.054,-0.3,60,0.2,161.0,+54 SB,var: 0.75-0.95,Aldebaran,الدبران أو نير الضبران
pi^3 Ori,,04 49.7,+6 58,3.19,0.45,F6 V,0.137,3.9,24,0.463,88.0,+24 SB2,,Hassaleh,الحصالة أو الكعب ذي العينين
iot Aur,,04 56.8,+33 10,2.69,1.53,K3 II,0.021,-2.0,240,0.018,167.0,+18,var?,,
eps Aur,A,05 01.7,+43 50,3.04v,0.54,A9 Iae + B,0.007,-7.8,2800,0.004,166.0,-3 SB,"ecl: 2.94-3.83, 9892d",Al Anz,العنز أو الماعز
eps Lep,,05 05.3,-22 23,3.19,1.46,K4 III,0.011,-0.3,160,0.073,166.0,+1,,,
eta Aur,,05 06.3,+41 13,3.17,-0.18,B3 V,0.022,-1.3,250,0.073,157.0,+7 V?,,Hoedus II,المعصم
bet Eri,,05 07.7,-5 06,2.79,0.13,A3 IVn,0.050,0.5,65,0.128,231.0,-9,,Kursa,الكرسي
mu  Lep,,05 12.8,-16 13,3.3v,-0.11,B9p IV:(HgMn),0.023,-0.2,150,0.043,129.0,+28,"var: 2.97-3.36, 2d",,
bet Ori,A,05 14.7,-8 13,0.12,-0.03,B8 Ia,0.013,-8.1  (,1400),0.004,236.0,+21 SB,"B: 7.6,B5 V,9""; C: 7.6; BC: 0.1""",Rigel,رجل الجبار
alp Aur,AB,05 16.4,+45 59,0.08,0.8,G6:III + G2:III,0.080,-0.4,43,0.43,169.0,+30 SB,"composite; A: 0.6; B: 1.1, 0.04""",Capella,العيون
eta Ori,AB,05 24.3,-2 24,3.4v,-0.17,B0.5 V + B,0.007,-3.8  (,1400),0.003,288.0,+20 SB2,"ecl: 3.14-3.35,8d; A: 3.6; B: 5.0, 1.6""",,
gam Ori,,05 25.0,+6 20,1.64,-0.22,B2 III,0.029,-3.9  (,1400),0.018,221.0,+18 SB?,,Bellatrix,المرزم
bet Tau,,05 26.2,+28 36,1.65,-0.13,B7 III,0.028,-1.5,140,0.178,172.0,+9 V,,Alnath,النطح
bet Lep,A,05 28.2,-20 46,2.84,0.82,G5 II,0.020,-2.1,320,0.09,185.0,-14,"B: 7.4, 2.6""",,
del Ori,A,05 31.9,-0 18,2.23v,-0.22,O9.5 II,0.014,-5.8  (,1400),0.002,252.0,+16 SB,"ecl: 1.94-2.13,5.7d",Mintaka,منطقة
alp Lep,,05 32.7,-17 50,2.58,0.21,F0 Ib,0.007,-5.1,1090,0.006,279.0,+24,,Arneb,أرنب
bet Dor,,05 33.6,-62 30,3.8v,0.84,F7-G2 Ib,0.012,-4.1,1119,0.007,8.0,+7 V,"Cepheid: 3.43-4.06, 9.8d",,
lam Ori,A,05 35.0,+9 56,3.54,-0.18,O8 III,0.007,-5.8,2200,0.006,191.0,+34,"B: 5.61, B0 V, 4""",Meissa,الهقعة
iot Ori,A,05 35.3,-5 55,2.77,-0.24,O9 III,0.025,-5.6  (,1400),0.005,284.0,+22 SB2,"B: 7.3, B7 IIIp(He wk), 11""",Nair al Saif,نير السيف
eps Ori,,05 36.1,-1 12,1.70,-0.19,B0 Ia,0.000,-7.0  (,1400),0.004,236.0,+26 SB,,Alnilam,النيلم أو النظام
zet Tau,,05 37.5,+21 08,3.0v,-0.19,B2 IIIpe(shell),0.008,-4.0,830,0.023,177.0,+20 SB,"var: 2.90-3.03; B: 5.0, 0.007""",,
alp Col,A,05 39.5,-34 05,2.64,-0.12,B7 IV,0.001,-1.1,180,0.026,178.0,+35 V?,,Phaet,الفاخثة
zet Ori,A,05 40.6,-1 57,2.05,-0.21,O9.5 Ib,0.024,-6.2  (,1400),0.002,207.0,+18 SB,"B: 4.2, B0 III, 2.4""",Alnitak,النطاق
zet Lep,,05 46.9,-14 50,3.55,0.1,A2 Vann,0.049,1.0,97,0.023,263.0,+20 SB?,,,
kap Ori,,05 47.7,-9 40,2.06,-0.17,B0.5 Ia,0.015,-7.0  (,1400),0.006,211.0,+21 V?,,Saiph,سيف الجبار
bet Col,,05 50.8,-35 46,3.12,1.16,K1.5 III,0.028,0.1,120,0.405,7.0,+89 V,,Wezn,وزن
alp Ori,,05 55.0,+7 24,0.5v,1.85,M2 Iab,0.005,-7.2  (,1400),0.028,68.0,+21 SB,var: 0.4-1.3,Betelgeuse,منكب الجوزاء
bet Aur,,05 59.3,+44 57,1.90v,0.03,A1 IV,0.041,0.3,55,0.055,269.0,-18 SB2,"ecl: 1.93-2.02, 4d(=mags)",Menkalinan,منكب ذي العنان
the Aur,AB,05 59.5,+37 13,2.62,-0.08,A0p II:(Si),0.022,0.0,110,0.097,149.0,+30 SB,"B: 7.2, G2 V, 4""",,
eta Gem,,06 14.7,+22 31,3.3v,1.6,M3 III,0.014,-0.7,210,0.068,259.0,+19 SB,"var: 3.3-3.9; B: 8.8, 1.6""",Propus,
zet CMa,,06 20.1,-30 03,3.02,-0.19,B2.5 V,0.004,-1.6,260,0.006,59.0,+32 SB,,Phurud,الفرد
bet CMa,,06 22.6,-17 57,2.0v,-0.23,B1 II-III,0.019,-4.9,750,0.014,253.0,+34 SB,"var: 1.93-2.00, 0.25d",Murzim,مرزم
mu  Gem,,06 22.8,+22 31,2.9v,1.64,M3 IIIab,0.020,-1.1,190,0.125,154.0,+55,var: 2.76-3.02,Tajet Posterior,
alp Car,,06 23.8,-52 41,-0.72,0.15,A9 II,0.028,-2.5,74,0.034,50.0,+21,,Canopus,سهيل
gam Gem,,06 37.5,+16 25,1.93,0.0,A1 IVs,0.037,0.7,57,0.061,136.0,-13 SB,,,
nu  Pup,,06 37.6,-43 11,3.17,-0.11,B8 IIIn,,-1.2,240,0.01,234.0,+28 SB,,Alhena,الهنعة
eps Gem,,06 43.8,+25 09,2.98,1.4,G8 Ib,0.017,-4.2,940,0.016,195.0,+10 SB,,Mebsuta,مبسوطة
xi  Gem,,06 45.1,+12 54,3.36,0.43,F5 IV,0.055,-2.4,59,0.224,211.0,+25 V?,,Alzirr,الزر
alp CMa,A,06 45.1,-16 42,-1.46,0.0,A0mA1 Va,0.378,1.4,9,1.324,204.0,-8 SB,"B: 8.5, WDA, 50y, 10""(1980)",Sirius,
alp Pic,,06 48.3,-61 56,3.27,0.21,A6 Vn,0.052,2.1,63,0.275,345.0,+21,,,
tau Pup,,06 49.8,-50 36,2.93,1.2,K1 III,,0.1,100,0.079,157.0,+36 SB,,,
eps CMa,A,06 58.4,-28 58,1.50,-0.21,B2 II,D.001,-4.8,570,0.002,27.0,+27,,Adara,عذارى
sig CMa,,07 01.5,-27 56,3.5v,1.73,K7 Ib,0.024,-4.0,830,0.008,284.0,+22,var: 3.43-3.49,,
omi^2 CMa,,07 03.0,-23 50,3.02,-0.08,B3 Ia,,-6.3,2200,0.007,262.0,+48 SB,,,
del CMa,,07 08.2,-26 24,1.84,0.68,F8 Ia,0.000,-8.0,2600,0.008,291.0,+34 SB,,Wezen,الوزن
l_2 Pup,,07 13.4,-44 38,2.6v,1.56,M5 IIIe,0.022,-1.3,200,0.346,18.0,+53 V?,Long Period Var: 2.6-6.2,HR2748,
pi  Pup,,07 17.0,-37 06,2.70,1.62,K3 Ib,0.032,-4.0,570,0.012,284.0,+16,,,
del Gem,AB,07 20.0,+21 59,3.53,0.34,F0 IV,0.061,2.2,53,0.029,241.0,+4 SB,"B: 8.2, K3 V, 0.2""",Wasat,الوسط
eta CMa,,07 23.9,-29 18,2.45,-0.08,B5 Ia,,-7.0,2500,0.008,284.0,+41 V,,Aludra,العذرة
bet CMi,,07 27.0,+8 18,2.90,-0.09,B8 V,0.019,0.1,110,0.065,233.0,+22 SB,,Gomeisa,غميصاء
sig Pup,A,07 29.1,-43 18,3.25,1.51,K5 III,0.020,-0.3,160,0.195,342.0,+88 SB,"B: 8.6, G5: V, 22""",,
alp Gem,A,07 34.4,+31 54,1.94,0.03,A1mA2 Va,0.067,1.2,49,0.199,239.0,+6 SB,"AB: 3"" separation",Castor,
alp Gem,B,07 34.5,+31 54,2.92,0.04,A2mA5 V:,0.067,1.4,49,0.199,239.0,-1 SB,"BA: 3"" separation",Castor,
alp CMi,A,07 39.2,+5 14,0.38,0.42,F5 IV-V,0.292,2.7,11,1.248,214.0,-3 SB,"B: 10.3, 4""",Procyon,
bet Gem,,07 45.2,+28 02,1.14,1.0,K0 IIIb,0.094,0.7,35,0.629,265.0,+3 V,,Pollux,
xi  Pup,,07 49.3,-24 51,3.34,1.24,G6 Ia,0.003,-7.2,800,0.033,240.0,+3 SB,,,
chi Car,,07 56.7,-52 58,3.47,-0.18,B3 IVp(note),0.004,-2.4,470,0.042,306.0,+19 V,Si II strong,,
zet Pup,,08 03.4,-39 59,2.25,-0.26,O5 Iafn,,-6.8,2000,0.033,290.0,-24 V?,,Naos,سهيل هدار
rho Pup,,08 07.5,-24 17,2.8v,0.43,F2mF5 II:(var),0.035,-2.0,280,0.1,299.0,+46 SB,"delta Del spec; var: 2.68-2.78, 0.14d",,
gam^2 Vel,,08 09.4,-47 19,1.8v,-0.22,WC8 + O9 I:,0.017,-6.7,1500,0.007,304.0,+35 SB2,"var: 1.6-1.8, 154s",Suhail al Muhlif,سهيل المحلف
bet Cnc,,08 16.3,+9 12,3.52,1.48,K4 III,0.012,-0.2,160,0.068,220.0,+22,,Altarf,الطرف
eps Car,,08 22.4,-59 30,1.86v,1.28,K3:III + B2:V,,-0.1,79,0.03,301.0,+2,"ecl? 3.1-3.4p, 785d",Avior,
omi UMa,A,08 30.0,+60 44,3.4v,0.84,G5 III,0.009,0.5,120,0.171,230.0,+20,"var: 3.3-3.8, 358d",,
del Vel,AB,08 44.6,-54 41,1.96,0.04,A1 Va,0.051,0.7,64,0.082,164.0,+2 V?,"B: 5.0, 2""",,
eps Hya,ABC,08 46.6,+6 26,3.38,0.68,G5:III + A:,0.027,0.5,150,0.198,254.0,+36 SB,"composite A: 3.8; B: 4.7, 0.2""; C: 7.8,3""",,
zet Hya,,08 55.2,+5 58,3.11,1.0,G9 II-III,0.035,-1.0,220,0.101,277.0,+23,,,
iot UMa,A,08 59.0,+48 04,3.14,0.19,A7 IVn,0.075,1.7,43,0.501,242.0,+9 SB,"BC: 10.8, M1 V, 4""",Talitha,
lam Vel,,09 07.8,-43 24,2.21v,1.66,K4 Ib-IIa,0.022,-3.3,330,0.026,299.0,+18,var: 2.14-2.22,Suhail,سهيل
a Car,,09 10.9,-58 56,3.44,-0.19,B2 IV-V,,-2.6,500,0.028,283.0,+23 SB2,"ecl: 3.2-3.6, 6.7d",HR3659,
bet Car,,09 13.2,-69 41,1.68,0.0,A1 III,0.021,0.2,64,0.183,304.0,-5 V?,,,
iot Car,,09 17.0,-59 16,2.2v,0.18,A7 Ib,0.017,-5.0,300,0.019,285.0,+13,var: 2.2-2.5,Miaplacidus,مياه
alp Lyn,,09 20.9,+34 24,3.13,1.55,K7 IIIab,0.025,-0.5,170,0.223,273.0,+38,,Turais,تريس
kap Vel,,09 22.0,-55 00,2.50,-0.18,B2 IV-V,0.013,-3.3,430,0.012,315.0,+22 SB,,,
alp Hya,,09 27.5,-8 39,1.98,1.44,K3 II-III,0.022,-1.0,110,0.034,327.0,-4 V?,,Alphard,الفرد
N Vel,,09 31.0,-57 01,3.13,1.55,K5 III,0.022,-0.3,150,0.034,268.0,-14,,HR3803,
the UMa,,09 32.7,+51 42,3.17,0.46,F6 IV,0.068,2.6,48,1.094,240.0,+15 SB,,,
omi Leo,AB,09 41.0,+9 54,3.52,0.49,F5 II + A5?,0.034,-2.3,590,0.149,254.0,+27 SB,A: occ.bin.(=mags),Subra,زبرة
l Car,,09 45.2,-62 30,3.8v,0.14,F9-G5 Ib,0.027,-5.7,1964,0.016,281.0,+4 V,"Cepheid var: 3.39-4.12, 35.5d",HR3884,
eps Leo,,09 45.7,+23 47,2.98,0.8,G1 II,0.010,-2.3,350,0.048,252.0,+4 V?,,Ras Elased Australis,رأس الأسد الجنوبي
ups Car,AB,09 46.9,-65 03,3.01,0.28,A6 II,0.027,-5.1,1100,0.012,305.0,+14,"B: 6.26, B7 III, 5""",,
phi Vel,,09 56.7,-54 33,3.54,-0.08,B5 Ib,,-5.4,1900,0.013,293.0,+14,,,
eta Leo,,10 07.2,+16 47,3.52,-0.03,A0 Ib,0.003,-5.2,1800,0.006,189.0,+3 V,"B: 4.5, 0.1""",,
alp Leo,A,10 08.2,+12 00,1.35,-0.11,B7 Vn,0.045,-0.3,69,0.248,271.0,+6 SB,,Regulus,نجم المليك
ome Car,,10 13.6,-70 01,3.32,-0.08,B8 IIIn,,-1.2,250,0.032,275.0,+7 V,,,
zet Leo,,10 16.5,+23 26,3.44,0.31,F0 IIIa,0.017,-0.1,77,0.023,124.0,-16 SB,,Adhafera,الضفيرة
lam UMa,,10 17.0,+42 56,3.45,0.03,A1 IV,0.030,1.0,100,0.17,255.0,+18 V,,Borealis,
q Car,,10 16.9,-61 19,3.4v,1.54,K3 IIa,0.027,-3.0,35,0.027,276.0,+8,var: 3.36-3.42,HR4050,
gam Leo,A,10 19.8,+19 52,2.61,1.15,K1 IIIb Fe-0.5,0.022,0.7,76,0.342,116.0,-37 SB,"AB: 5"" separation",Algieba,جبهة الأسد
gam Leo,B,10 19.8,+19 52,3.47,1.1,G7 III Fe-1,0.022,0.8,76,0.358,119.0,-36 V,"BA: 5"" separation",,
mu  UMa,,10 22.2,+41 31,3.05,1.59,M0 IIIp,0.035,-0.7,170,0.088,290.0,-21 SB,Ca II emission,Australis,
p Car,,10 31.8,-61 40,3.3v,-0.09,B4 Vne,,-1.1,220,0.021,287.0,+26,var: 3.27-3.37,HR4140,
the Car,,10 42.8,-64 22,2.76,-0.22,B0.5 Vp,,-3.5,540,0.022,291.0,+24 SB,Nitrogen enhanced,,
mu  Vel,AB,10 46.7,-49 24,2.69,0.9,G5 III + F8:V,D.022,0.8,75,0.085,125.0,+6 SB,"B: 6.4, 2""",,
nu  Hya,,10 49.5,-16 10,3.11,1.25,K2 III,0.028,0.1,110,0.215,24.0,-1,,,
bet UMa,,11 01.7,+56 24,2.37,-0.02,A0mA1 IV-V,0.053,0.7,62,0.087,70.0,-12 SB,,Merak,المراق
alp UMa,AB,11 03.6,+61 46,1.79,1.07,K0 IIIa,0.038,-0.8,100,0.138,239.0,-9 SB,"A: 1.86, B: 4.8, A8 V, <1""",Dubhe,ظهر الدب
psi UMa,,11 09.5,+44 31,3.01,1.14,K1 III,,0.2,110,0.075,245.0,-4,,,
del Leo,,11 14.0,+20 33,2.56,0.12,A4 IV,0.048,0.7,51,0.197,133.0,-20 V,,Zosma,
the Leo,,11 14.0,+15 27,3.34,-0.01,A2 IV(K var),0.026,0.5,80,0.104,216.0,+8 V,,Chort,
nu  UMa,,11 18.3,+33 07,3.48,1.4,K3 III Ba0.3,0.020,0.0,130,0.036,309.0,-9 SB,"B: 9.5, 7""",Alula Borealis,القفزة الأولى
xi  Hya,,11 32.9,-31 50,3.54,0.94,G7 III,0.027,0.4,130,0.211,259.0,-5 V,,,
lam Cen,,11 35.7,-63 00,3.13,-0.04,B9.5 IIn,,-3.0,170,0.039,258.0,-1 V,,,
bet Leo,,11 48.9,+14 36,2.14,0.09,A3 Va,0.082,1.5,40,0.511,257.0,+0 V,,Denebola,ذنب الأسد
gam UMa,,11 53.7,+53 43,2.44,0.0,A0 Van,0.028,0.5,80,0.094,86.0,-13 SB,,Phad,الفخذة أو فخذة الدب
del Cen,,12 08.2,-50 42,2.6v,-0.12,B2 IVne,0.026,-3.1,370,0.034,249.0,+11 V,var: 2.51-2.65,,
eps Crv,,12 10.0,-22 36,3.00,1.33,K2 III,0.027,-0.8,180,0.073,278.0,+5,,Minkar,منقار
del Cru,,12 15.0,-58 43,2.80v,-0.23,B2 IV,0.003,-3.1,490,0.039,255.0,+22 V?,"var: 2.25-2.31p, 3.7h",,
